date,cpd_crashes
2023-01-01,81
2023-01-02,31
2023-01-03,69
2023-01-04,77
2023-01-05,66
2023-01-06,53
2023-01-07,75
2023-01-08,52
2023-01-09,58
2023-01-10,68
2023-01-11,67
2023-01-12,109
2023-01-13,84
2023-01-14,48
2023-01-15,52
2023-01-16,41
2023-01-17,67
2023-01-18,84
2023-01-19,110
2023-01-20,76
2023-01-21,52
2023-01-22,118
2023-01-23,86
2023-01-24,71
2023-01-25,52
2023-01-26,72
2023-01-27,94
2023-01-28,73
2023-01-29,86
2023-01-30,87
2023-01-31,165
2023-02-01,95
2023-02-02,74
2023-02-03,96
2023-02-04,63
2023-02-05,59
2023-02-06,69
2023-02-07,51
2023-02-08,76
2023-02-09,135
2023-02-10,59
2023-02-11,79
2023-02-12,58
2023-02-13,46
2023-02-14,52
2023-02-15,67
2023-02-16,87
2023-02-17,89
2023-02-18,74
2023-02-19,57
2023-02-20,69
2023-02-21,42
2023-02-22,42
2023-02-23,100
2023-02-24,49
2023-02-25,71
2023-02-26,68
2023-02-27,81
2023-02-28,125
2023-03-01,98
2023-03-02,89
2023-03-03,101
2023-03-04,66
2023-03-05,46
2023-03-06,82
2023-03-07,101
2023-03-08,113
2023-03-09,97
2023-03-10,75
2023-03-11,69
2023-03-12,55
2023-03-13,70
2023-03-14,103
2023-03-15,104
2023-03-16,100
2023-03-17,93
2023-03-18,96
2023-03-19,63
2023-03-20,68
2023-03-21,66
2023-03-22,101
2023-03-23,86
2023-03-24,137
2023-03-25,89
2023-03-26,65
2023-03-27,58
2023-03-28,47
2023-03-29,83
2023-03-30,106
2023-03-31,93
2023-04-01,70
2023-04-02,66
2023-04-03,120
2023-04-04,65
2023-04-05,119
2023-04-06,91
2023-04-07,69
2023-04-08,94
2023-04-09,50
2023-04-10,68
2023-04-11,114
2023-04-12,75
2023-04-13,81
2023-04-14,122
2023-04-15,83
2023-04-16,58
2023-04-17,74
2023-04-18,91
2023-04-19,72
2023-04-20,106
2023-04-21,131
2023-04-22,89
2023-04-23,69
2023-04-24,60
2023-04-25,79
2023-04-26,83
2023-04-27,73
2023-04-28,101
2023-04-29,89
2023-04-30,118
2023-05-01,121
2023-05-02,64
2023-05-03,83
2023-05-04,82
2023-05-05,100
2023-05-06,92
2023-05-07,62
2023-05-08,74
2023-05-09,97
2023-05-10,73
2023-05-11,108
2023-05-12,107
2023-05-13,66
2023-05-14,73
2023-05-15,82
2023-05-16,131
2023-05-17,81
2023-05-18,85
2023-05-19,94
2023-05-20,86
2023-05-21,90
2023-05-22,72
2023-05-23,68
2023-05-24,98
2023-05-25,111
2023-05-26,85
2023-05-27,90
2023-05-28,48
2023-05-29,62
2023-05-30,78
2023-05-31,78
2023-06-01,97
2023-06-02,104
2023-06-03,80
2023-06-04,87
2023-06-05,59
2023-06-06,69
2023-06-07,87
2023-06-08,82
2023-06-09,80
2023-06-10,61
2023-06-11,104
2023-06-12,64
2023-06-13,86
2023-06-14,87
2023-06-15,89
2023-06-16,113
2023-06-17,67
2023-06-18,66
2023-06-19,136
2023-06-20,64
2023-06-21,107
2023-06-22,50
2023-06-23,91
2023-06-24,78
2023-06-25,52
2023-06-26,82
2023-06-27,51
2023-06-28,81
2023-06-29,76
2023-06-30,100
2023-07-01,114
2023-07-02,99
2023-07-03,95
2023-07-04,52
2023-07-05,98
2023-07-06,62
2023-07-07,60
2023-07-08,64
2023-07-09,63
2023-07-10,75
2023-07-11,97
2023-07-12,71
2023-07-13,113
2023-07-14,49
2023-07-15,82
2023-07-16,59
2023-07-17,85
2023-07-18,78
2023-07-19,44
2023-07-20,98
2023-07-21,63
2023-07-22,74
2023-07-23,76
2023-07-24,84
2023-07-25,69
2023-07-26,81
2023-07-27,98
2023-07-28,87
2023-07-29,78
2023-07-30,59
2023-07-31,83
2023-08-01,77
2023-08-02,67
2023-08-03,79
2023-08-04,74
2023-08-05,69
2023-08-06,79
2023-08-07,106
2023-08-08,88
2023-08-09,108
2023-08-10,90
2023-08-11,109
2023-08-12,77
2023-08-13,87
2023-08-14,99
2023-08-15,80
2023-08-16,63
2023-08-17,71
2023-08-18,103
2023-08-19,65
2023-08-20,68
2023-08-21,69
2023-08-22,82
2023-08-23,87
2023-08-24,136
2023-08-25,91
2023-08-26,87
2023-08-27,63
2023-08-28,107
2023-08-29,66
2023-08-30,68
2023-08-31,48
2023-09-01,86
2023-09-02,72
2023-09-03,67
2023-09-04,60
2023-09-05,71
2023-09-06,92
2023-09-07,64
2023-09-08,73
2023-09-09,73
2023-09-10,62
2023-09-11,86
2023-09-12,126
2023-09-13,62
2023-09-14,60
2023-09-15,65
2023-09-16,52
2023-09-17,92
2023-09-18,69
2023-09-19,65
2023-09-20,44
2023-09-21,72
2023-09-22,104
2023-09-23,66
2023-09-24,49
2023-09-25,45
2023-09-26,76
2023-09-27,75
2023-09-28,82
2023-09-29,71
2023-09-30,67
2023-10-01,72
2023-10-02,75
2023-10-03,102
2023-10-04,62
2023-10-05,62
2023-10-06,91
2023-10-07,62
2023-10-08,67
2023-10-09,95
2023-10-10,86
2023-10-11,94
2023-10-12,100
2023-10-13,71
2023-10-14,128
2023-10-15,62
2023-10-16,74
2023-10-17,78
2023-10-18,123
2023-10-19,122
2023-10-20,83
2023-10-21,96
2023-10-22,65
2023-10-23,81
2023-10-24,63
2023-10-25,76
2023-10-26,66
2023-10-27,155
2023-10-28,87
2023-10-29,99
2023-10-30,103
2023-10-31,85
2023-11-01,67
2023-11-02,61
2023-11-03,86
2023-11-04,67
2023-11-05,60
2023-11-06,78
2023-11-07,81
